Species,POINT_X,POINT_Y
Amblyomma americanum_cal,-79.1975,37.90611
Amblyomma americanum_cal,-79.4169731,35.3459873
Amblyomma americanum_cal,-76.34772,37.88319
Amblyomma americanum_cal,-90.6749725,44.0382442
Amblyomma americanum_cal,-83.6035042,33.6531773
Amblyomma americanum_cal,-72.1931343,41.328896
Amblyomma americanum_cal,-84.3879852,33.7489948
Amblyomma americanum_cal,-87.0655556,36.5822678
Amblyomma americanum_cal,-75.05518,38.53956
Amblyomma americanum_cal,-81.6237068,34.7154102
Amblyomma americanum_cal,-76.0003393,35.5096615
Amblyomma americanum_cal,-96.4667,32.05
Amblyomma americanum_cal,-80.8431282,35.2270889
Amblyomma americanum_cal,-89.99547,36.93682
Amblyomma americanum_cal,-81.033777,34.0008472
Amblyomma americanum_cal,-78.73918,35.5071
Amblyomma americanum_cal,-82.59194,28.19361
Amblyomma americanum_cal,-96.0641632,39.8341675
Amblyomma americanum_cal,-94.11833,36.33194
Amblyomma americanum_cal,-85.31056,36.50778
Amblyomma americanum_cal,-75.82333,37.53167
Amblyomma americanum_cal,-82.976265,33.2757015
Amblyomma americanum_cal,-78.4766808,38.0293045
Amblyomma americanum_cal,-80.855648,33.4918175
Amblyomma americanum_cal,-77.2750854,38.1097082
Amblyomma americanum_cal,-77.28472,36.27389
Amblyomma americanum_cal,-85.76361,32.83111
Amblyomma americanum_cal,-88.2072,40.1106
Amblyomma americanum_cal,-81.72278,30.96361
Amblyomma americanum_cal,-86.25027,35.75035
Amblyomma americanum_cal,-78.06721,34.03045
Amblyomma americanum_cal,-85.7496724,31.3992165
Amblyomma americanum_cal,-76.82549,35.02572
Amblyomma americanum_cal,-77.9972267,37.0804272
Amblyomma americanum_cal,-90.39195,37.40785
Amblyomma americanum_cal,-94.658661,40.561808
Amblyomma americanum_cal,-75.7591019,38.4598427
Amblyomma americanum_cal,-96.3167,30.6667
Amblyomma americanum_cal,-83.5552101,41.6639366
Amblyomma americanum_cal,-88.8271134,30.4167174
Amblyomma americanum_cal,-80.6701655,32.4324804
Amblyomma americanum_cal,-70.521389,41.658611
Amblyomma americanum_cal,-81.66583,28.92917
Amblyomma americanum_cal,-99.33472,31.135
Amblyomma americanum_cal,-74.4292512,39.3713841
Amblyomma americanum_cal,-76.4340987,38.3623328
Amblyomma americanum_cal,-87.844592,42.1404858
Amblyomma americanum_cal,-93.94337,37.1741
Amblyomma americanum_cal,-82.837368,34.6834393
Amblyomma americanum_cal,-95.923889,34.826667
Amblyomma americanum_cal,-94.88358,39.05973
Amblyomma americanum_cal,-78.01,35.64528
Amblyomma americanum_cal,-92.2662055,37.5102341
Amblyomma americanum_cal,-79.9414253,37.2709694
Amblyomma americanum_cal,-88.2632,32.01961
Amblyomma americanum_cal,-75.8238335,39.98316
Amblyomma americanum_cal,-73.32806,43.17222
Amblyomma americanum_cal,-86.495307,30.522641
Amblyomma americanum_cal,-81.95966,36.72448
Amblyomma americanum_cal,-75.5418663,39.1134472
Amblyomma americanum_cal,-91.06252,37.33234
Amblyomma americanum_cal,-83.50018,32.75042
Amblyomma americanum_cal,-90.97333,36.26361
Amblyomma americanum_cal,-89.2470245,37.4603233
Amblyomma americanum_cal,-82.1306725,33.5337467
Amblyomma americanum_cal,-78.31089,36.600921
Amblyomma americanum_cal,-71.0742302,43.0334187
Amblyomma americanum_cal,-78.55556,37.55015
Amblyomma americanum_cal,-97.912291,36.3413029
Amblyomma americanum_cal,-94.67556,34.19389
Amblyomma americanum_cal,-91.08047,36.7544
Amblyomma americanum_cal,-92.1474113,46.5621624
Amblyomma americanum_cal,-98.49333,29.42389
Amblyomma americanum_cal,-85.95694,37.13667
Amblyomma americanum_cal,-84.01944,39.82083
Amblyomma americanum_cal,-92.0857009,34.3258372
Amblyomma americanum_cal,-95.67778,39.04833
Amblyomma americanum_cal,-90.8700101,37.9736648
Amblyomma americanum_cal,-81.40989,29.91218
Amblyomma americanum_cal,-80.00032,35.50069
Amblyomma americanum_cal,-77.8957481,34.5104348
Amblyomma americanum_cal,-92.28506,38.8297
Amblyomma americanum_cal,-74.5435553,40.9548927
Amblyomma americanum_cal,-74.0074043,40.4037189
Amblyomma americanum_cal,-81.73306,28.02194
Amblyomma americanum_cal,-76.6229935,35.5401669
Amblyomma americanum_cal,-83.4612923,37.7720337
Amblyomma americanum_cal,-92.8335228,38.1991978
Amblyomma americanum_cal,-93.2982445,37.2153263
Amblyomma americanum_cal,-94.3624992,45.9763565
Amblyomma americanum_cal,-94.7691154,36.593689
Amblyomma americanum_cal,-77.0283089,38.6676178
